cmn,eng
一,one
二,two
三,three
四,four
五,five
六,six
七,seven
八,eight
九,nine
十,ten
二十,twenty
三十,thirty
四十,forty
五十,fifty
六十,sixty
七十,seventy
八十,eighty
九十,ninety
百,hundred
千,thousand
百万,million
为了,for
和,and
但,but
或者,or
只是,just
是的,yes
不,no
自从,since
直到,until
和,with
从,from
前,before
后,after
的,of
如果,if
每个,each
你好,hello
相当,quite
反对,against
然后,then
比,than
我们,we
你,you
他,he
她,she
它,it
他们,they
我,I
哇,wow
好的,ok
几乎,almost
昨天,yesterday
明天,tomorrow
经常,often
这里,here
那里,there
甚至,even
之间,between
