ger,eng
der,the
die,the
und,and
von,of
von,from
von,by
den,the
das,this
das,the
das,that
mit,with
für,for
auf,on
auf,at
auf,to
ein,a
ein,an
ein,one
als,as
dem,the
eine,a
eine,an
eine,one
nach,to
nach,after
bei,at
bei,in
aus,from
aus,out
bis,to
bis,pending
bis,up
bis,until
einer,an
einer,one
werden,be
oder,or
durch,thru
durch,through
durch,by
einen,a
einen,an
einen,one
dass,that
über,on
über,about
über,via
über,over
über,above
einem,a
einem,an
aber,but
wie,like
wie,as
noch,yet
noch,nor
unter,at
unter,under
man,man
vor,before
sein,be
sein,his
diese,this
diese,these
vom,of
vom,from
seine,his
seine,its
seit,since
dieser,this
wenn,if
dann,then
zwei,two
seiner,his
seiner,its
was,what
sowie,and
zwischen,between
gegen,versus
gegen,against
keine,no
mal,once
mal,times
jedoch,but
dort,there
siehe,see
drei,three
etwa,about
alle,all
während,during
während,while
ihre,their
ihre,its
ihre,your
ihre,her
damit,so
seinen,his
ihr,your
ihr,her
seinem,his
ohne,without
doch,yet
doch,but
also,so
kein,no
ihrer,their
ihrer,your
bzw,or
beiden,both
beiden,two
vier,four
dessen,whose
neben,beside
neben,besides
allerdings,but
allerdings,though
nun,well
weil,because
bitte,please
einige,some
wegen,because
deren,whose
viele,many
ihren,their
diesen,these
gut,well
nachdem,after
ganz,quite
außerdem,besides
denn,because
sei,be
danach,then
danach,after
fünf,five
welche,what
welche,which
zwar,although
eher,rather
rund,round
rund,around
alles,all
einmal,once
beide,both
innerhalb,inside
innerhalb,within
vielen,many
sechs,six
folgenden,following
pro,pro
pro,per
damals,then
meine,my
meine,mine
sehen,see
jeder,every
jeder,each
anschließend,then
oben,above
oben,up
mann,man
sowohl,both
gegenüber,opposite
millionen,million
zahlreiche,many
solche,such
warum,why
obwohl,although
obwohl,though
darunter,underneath
darunter,below
darunter,including
darunter,beneath
ihnen,them
einigen,some
zuvor,before
sieben,seven
hinter,behind
hinaus,beyond
laut,according
folgende,following
zehn,ten
beitrag,post
meiner,my
meiner,mine
acht,eight
per,via
per,per
leider,alas
trotz,notwithstanding
trotz,spite
trotz,despite
runde,round
bevor,before
welches,which
mein,my
hilfe,help
hälfte,half
nähe,near
see,see
tatsächlich,indeed
nahe,near
deine,your
sagen,say
till,till
jede,every
jede,any
jede,each
dagegen,against
liebe,dear
nächsten,next
falls,if
all,all
welcher,which
jeden,every
jeden,each
jeden,any
außer,except
entsprechend,according
dennoch,yet
weder,neither
jungen,boy
hoch,up
außerhalb,outside
hallo,hi
hallo,hello
trotzdem,yet
neun,nine
jedem,each
gemäß,according
post,post
entweder,either
jedes,every
jedes,any
jedes,each
unten,down
unten,below
junge,boy
vorher,before
nein,no
entlang,along
darum,so
meinen,my
solchen,such
zwölf,twelve
seitdem,since
herr,sir
ziemlich,quite
gott,god
gott,gosh
sagt,say
mio,million
mensch,gosh
mensch,man
zeiten,times
unterhalb,underneath
unterhalb,below
unterhalb,beneath
lieber,dear
dein,your
elf,eleven
eins,one
nächste,nearest
nächste,next
morgen,morning
manche,some
meinem,my
verstanden,roger
helfen,help
unsere,our
solcher,such
egal,whatever
vergangenheit,past
weshalb,why
einschließlich,including
außen,outside
oberhalb,above
tut,toot
vorbei,over
raus,outta
raus,out
welchen,what
welchen,which
wieso,why
gottes,god
frühere,past
unserer,our
einst,once
roger,roger
vielmehr,rather
times,times
hundert,hundred
sir,sir
posten,post
ach,ah
ach,oh
unser,our
jesus,jesus
via,via
näher,nearer
runden,round
bord,aboard
jesu,jesus
jerusalem,jerusalem
naja,well
beider,both
milliarden,billion
bestehend,consisting
innen,inside
brunnen,well
out,out
christus,christ
davor,before
plus,plus
ansehen,see
schau,see
gegenteil,opposite
off,off
jenseits,beyond
herum,around
retten,save
anti,anti
beides,both
inklusive,including
solches,such
hell,hell
halb,half
sobald,once
million,million
two,two
gefällt,like
dorthin,there
tausend,thousand
down,down
dahinter,behind
sag,say
wozu,why
male,times
round,round
ten,ten
woraufhin,whereupon
unseren,our
lieben,dear
zwanzig,twenty
boy,boy
like,like
mrd,billion
half,half
okay,okay
quer,across
three,three
wem,whose
teufel,hell
four,four
springen,jumping
halbe,half
ausgehen,out
ehre,glory
christ,christ
mine,mine
under,under
dazwischen,between
weswegen,why
five,five
mögen,like
six,six
still,hush
vieles,many
abschied,farewell
abschied,goodbye
hölle,hell
speichern,save
inmitten,amid
inmitten,amidst
fell,fur
god,god
after,after
bergwerk,mine
but,but
draußen,outside
draußen,out
folgend,following
willkommen,welcome
nah,near
quatsch,crap
quatsch,bullshit
ausgenommen,excluding
ausgenommen,except
mist,crap
binnen,within
sparen,save
ausser,except
seven,seven
inter,inter
nächstes,next
rogers,roger
hmm,hmm
dreizehn,thirteen
morgens,morning
bang,bang
dreißig,thirty
next,next
fünfmal,five
weile,while
blödsinn,bullshit
dreier,three
vierzehn,fourteen
fünfzehn,fifteen
hey,hey
ruhm,glory
hinauf,up
zero,zero
beyond,beyond
without,without
nächster,nearest
nächster,next
bravo,bravo
obgleich,although
nächstgelegene,nearest
ungeachtet,notwithstanding
fünfzig,fifty
say,say
vierzig,forty
nachher,after
bye,bye
springt,jumping
nine,nine
abweichend,notwithstanding
ähm,um
uff,ugh
wow,wow
verdammt,damn
hinunter,down
aufwärts,up
ups,oops
minus,minus
sechzehn,sixteen
save,save
innenseite,inside
halbzeit,half
runter,down
abwärts,down
nor,nor
help,help
near,near
fer,fer
glory,glory
zweit,two
versus,versus
please,please
schwachsinn,bullshit
felle,fur
twenty,twenty
pfui,ugh
eight,eight
hello,hello
drunter,underneath
hilfen,help
deaktiviert,off
wiedersehen,bye
wiedersehen,goodbye
milliarde,billion
drinnen,inside
siebzehn,seventeen
vormittag,morning
achtzehn,eighteen
einhundert,hundred
infrarot,infra
sprünge,jumping
pfosten,post
pelz,fur
servus,hello
liebes,dear
herrlichkeit,glory
vergangene,past
respektieren,respecting
sechzig,sixty
scheiße,crap
across,across
thousand,thousand
wessen,whose
aussen,outside
springe,jumping
hundred,hundred
harro,harro
arsch,butt
fifty,fifty
zuzüglich,plus
amen,amen
begrüßung,welcome
entgegengesetzt,opposite
eleven,eleven
allah,god
haw,haw
draussen,outside
dreien,three
bullshit,bullshit
siebzig,seventy
hurra,hooray
hurra,hurrah
hurra,hurray
bong,bong
neunzehn,nineteen
twelve,twelve
nächst,nearest
vormittags,morning
hintern,butt
oha,whoa
ani,ani
achtzig,eighty
knall,bang
abzüglich,minus
billionen,trillion
äther,ether
umm,umm
verflucht,damn
presto,presto
forty,forty
gee,gee
thirty,thirty
halleluja,hallelujah
ether,ether
fellen,fur
pelze,fur
ehm,um
mah,mah
adieu,farewell
meins,mine
tschüss,bye
tschüss,goodbye
atta,atta
einschliesslich,including
fünfundzwanzig,twenty
neunzig,ninety
sake,sake
anhängig,pending
eintausend,thousand
hoppla,oops
pip,pip
sixteen,sixteen
sixty,sixty
bout,bout
ugh,ugh
crunch,crunch
thirteen,thirteen
herrgott,jesus
ausstehende,pending
lak,lak
boah,wow
boah,whoa
att,att
zzgl,plus
pugh,pugh
speichere,save
bah,bah
goodnight,goodnight
hüpfen,jumping
scheisse,crap
seventeen,seventeen
huh,huh
ninety,ninety
mmm,mmm
infra,infra
eighty,eighty
krist,krist
ahh,aah
goody,goody
fifteen,fifteen
aah,aah
donnerwetter,golly
donnerwetter,gosh
seventy,seventy
fourteen,fourteen
lebewohl,farewell
lebewohl,goodbye
schweig,hush
nineteen,nineteen
eighteen,eighteen
creepers,creepers
