fre,eng
des,of
les,the
une,a
une,an
une,one
dans,in
par,by
pour,for
sur,on
que,that
avec,with
son,his
son,its
plus,plus
pas,no
elle,it
aux,to
comme,as
comme,like
mais,but
cette,this
deux,two
ses,his
ses,its
après,after
entre,between
sous,under
être,be
cet,this
leur,their
depuis,since
depuis,from
alors,then
alors,so
ces,these
ainsi,so
tout,all
lors,during
bien,well
contre,against
puis,then
avant,before
non,no
trois,three
sans,without
vers,towards
vers,to
plusieurs,many
fois,times
tous,all
donc,so
soit,either
pendant,during
quelques,some
leurs,their
quatre,four
durant,during
chez,at
car,because
chaque,every
chaque,each
cela,this
cela,that
certains,some
près,near
ensuite,then
toutes,all
toute,all
nombreux,many
cinq,five
demi,half
ceux,those
suivant,next
beaucoup,many
parmi,among
sortie,out
nombreuses,many
mon,my
laquelle,which
notre,our
autour,around
certaines,some
eux,them
dix,ten
millions,million
malgré,spite
malgré,despite
aucun,no
sept,seven
hors,off
lequel,which
plutôt,rather
aucune,no
intérieur,inside
proche,near
huit,eight
dieu,god
bonjour,hi
bonjour,hello
votre,your
tel,such
parce,because
tels,such
passé,past
vingt,twenty
nos,our
pourquoi,why
neuf,nine
moitié,half
chacun,each
quoi,what
man,man
puisque,since
derrière,behind
sauf,except
mes,my
dessous,below
ceci,this
pourtant,yet
extérieur,outside
telle,such
trente,thirty
quel,what
cent,hundred
telles,such
douze,twelve
contraire,opposite
lesquels,which
auparavant,before
vos,your
quelle,what
matin,morning
mille,thousand
interieur,inside
dehors,outside
dehors,out
aime,like
chacune,each
puits,well
milliards,billion
onze,eleven
sortir,out
quinze,fifteen
milliers,thousand
million,million
mine,mine
quarante,forty
cinquante,fifty
treize,thirteen
salut,hi
salut,hello
salut,hey
soixante,sixty
seize,sixteen
zéro,zero
centaine,hundred
quatorze,fourteen
passée,past
dépit,spite
three,three
his,his
prochaine,next
prochain,next
quinzaine,fifteen
passés,past
under,under
bienvenue,welcome
bonsoir,goodnight
jadis,once
passées,past
quoique,although
opposés,opposite
milliard,billion
descendre,down
adieu,farewell
adieu,goodbye
euh,uh
opposée,opposite
excepté,except
next,next
millier,thousand
coucou,hi
coucou,hello
svp,please
matinée,morning
sois,be
adieux,farewell
adieux,goodbye
alentour,around
soyez,be
messire,sir
bienvenu,welcome
matinale,morning
oups,oops
bienvenus,welcome
mienne,mine
wow,wow
apres,after
bienvenues,welcome
miens,mine
aprés,after
sixteen,sixteen
billion,billion
billion,trillion
billions,trillion
parmis,among
bjr,hello
exterieur,outside
slt,hi
humm,hmm
waouh,wow
hourra,hooray
hourra,hurrah
hourra,hurray
trillions,trillion
