eng,fre
one,un
two,deux
three,trois
four,quatre
five,cinq
six,six
seven,Sept
eight,huit
nine,neuf
ten,dix
twenty,vingt
thirty,trente
forty,quarante
fifty,cinquante
sixty,soixante
seventy,soixante-dix
eighty,quatre-vingts
ninety,quatre-vingt-dix
hundred,cent
thousand,mille
million,million
for,pour
and,et
but,mais
or,ou
just,juste
yes,Oui
no,Non
since,depuis
until,jusqu'à
with,avec
from,depuis
before,avant
after,après
of,de
if,si
each,chaque
hello,Bonjour
quite,assez
against,contre
then,alors
than,que
we,nous
you,toi
he,il
she,elle
it,il
they,ils
I,je
wow,Ouah
ok,d'accord
almost,presque
yesterday,hier
tomorrow,demain
often,souvent
here,ici
there,là
even,même
between,entre
