eng,cmn
one,一
two,二
three,三
four,四
five,五
six,六
seven,七
eight,八
nine,九
ten,十
twenty,二十
thirty,三十
forty,四十
fifty,五十
sixty,六十
seventy,七十
eighty,八十
ninety,九十
hundred,百
thousand,千
million,百万
for,为了
and,和
but,但
or,或者
just,只是
yes,是的
no,不
since,自从
until,直到
with,和
from,从
before,前
after,后
of,的
if,如果
each,每个
hello,你好
quite,相当
against,反对
then,然后
than,比
we,我们
you,你
he,他
she,她
it,它
they,他们
I,我
wow,哇
ok,好的
almost,几乎
yesterday,昨天
tomorrow,明天
often,经常
here,这里
there,那里
even,甚至
between,之间
