fre,eng
un,one
deux,two
trois,three
quatre,four
cinq,five
six,six
Sept,seven
huit,eight
neuf,nine
dix,ten
vingt,twenty
trente,thirty
quarante,forty
cinquante,fifty
soixante,sixty
soixante-dix,seventy
quatre-vingts,eighty
quatre-vingt-dix,ninety
cent,hundred
mille,thousand
million,million
pour,for
et,and
mais,but
ou,or
juste,just
Oui,yes
Non,no
depuis,since
jusqu'à,until
avec,with
depuis,from
avant,before
après,after
de,of
si,if
chaque,each
Bonjour,hello
assez,quite
contre,against
alors,then
que,than
nous,we
toi,you
il,he
elle,she
il,it
ils,they
je,I
Ouah,wow
d'accord,ok
presque,almost
hier,yesterday
demain,tomorrow
souvent,often
ici,here
là,there
même,even
entre,between
