ger,eng
der,the
die,the
und,and
von,of
von,from
von,by
den,the
das,this
das,the
das,that
mit,with
für,for
auf,on
auf,at
auf,to
ein,a
ein,an
ein,one
als,as
dem,the
eine,a
eine,an
eine,one
nach,to
nach,after
bei,at
bei,in
aus,from
aus,out
bis,to
bis,up
bis,until
einer,an
einer,one
werden,become
oder,or
durch,through
durch,by
einen,a
einen,an
einen,one
dass,that
über,on
über,about
über,via
über,over
über,above
einem,a
einem,an
aber,but
wie,like
wie,as
noch,yet
noch,nor
unter,at
unter,under
vor,before
sein,be
sein,his
diese,this
diese,these
vom,of
vom,from
seine,his
seine,its
seit,since
dieser,this
wenn,if
dann,then
zwei,two
seiner,his
seiner,its
was,what
sowie,and
zwischen,between
gegen,against
keine,no
mal,once
jedoch,but
dort,there
drei,three
etwa,about
alle,all
während,during
während,while
ihre,their
ihre,its
ihre,your
ihre,her
damit,so
seinen,his
ihr,your
ihr,her
seinem,his
ohne,without
doch,yet
doch,but
also,so
kein,no
ihrer,their
ihrer,your
beiden,both
beiden,two
vier,four
dessen,whose
neben,beside
neben,besides
allerdings,but
allerdings,though
weil,because
bitte,please
einige,some
wegen,because
deren,whose
viele,many
ihren,their
diesen,these
nachdem,after
ganz,quite
außerdem,besides
denn,because
danach,then
danach,after
fünf,five
welche,what
welche,which
zwar,although
eher,rather
alles,all
einmal,once
beide,both
innerhalb,inside
innerhalb,within
vielen,many
sechs,six
damals,then
meine,my
meine,mine
sehen,see
jeder,every
jeder,each
anschließend,then
oben,above
oben,up
sowohl,both
millionen,million
zahlreiche,many
solche,such
warum,why
obwohl,although
obwohl,though
darunter,underneath
darunter,below
darunter,beneath
ihnen,them
einigen,some
zuvor,before
sieben,seven
hinter,behind
hinaus,beyond
zehn,ten
meiner,my
meiner,mine
acht,eight
leider,unfortunately
trotz,despite
bevor,before
welches,which
mein,my
nähe,near
tatsächlich,indeed
nahe,near
deine,your
jede,every
jede,any
jede,each
dagegen,against
nächsten,next
welcher,which
jeden,every
jeden,each
jeden,any
dennoch,yet
weder,neither
außerhalb,outside
hallo,hi
hallo,hello
trotzdem,yet
neun,nine
jedem,each
gemäß,according
entweder,either
jedes,every
jedes,any
jedes,each
unten,down
unten,below
vorher,before
nein,no
entlang,along
darum,so
meinen,my
solchen,such
zwölf,twelve
seitdem,since
ziemlich,quite
unterhalb,underneath
unterhalb,below
unterhalb,beneath
dein,your
elf,eleven
eins,one
nächste,nearest
nächste,next
morgen,morning
manche,some
meinem,my
unsere,our
solcher,such
egal,whatever
weshalb,why
außen,outside
oberhalb,above
vorbei,over
raus,out
welchen,what
welchen,which
wieso,why
unserer,our
einst,once
vielmehr,rather
times,times
hundert,hundred
ach,ah
ach,oh
unser,our
näher,nearer
beider,both
milliarden,billion
innen,inside
davor,before
gegenteil,opposite
jenseits,beyond
herum,around
beides,both
solches,such
sobald,once
million,million
gefällt,like
dorthin,there
tausend,thousand
dahinter,behind
wozu,why
zehn,ten
woraufhin,whereupon
unseren,our
lieben,dear
zwanzig,twenty
wem,whose
vier,four
halbe,half
dazwischen,between
weswegen,why
funf,five
sechs,six
vieles,many
abschied,farewell
abschied,goodbye
inmitten,amid
inmitten,amidst
draußen,outside
draußen,out
willkommen,welcome
ausgenommen,excluding
ausgenommen,except
binnen,within
ausser,except
nächstes,next
dreizehn,thirteen
morgens,morning
dreißig,thirty
fünfmal,five
weile,while
dreier,three
vierzehn,fourteen
fünfzehn,fifteen
hinauf,up
nächster,nearest
nächster,next
obgleich,although
nächstgelegene,nearest
ungeachtet,notwithstanding
fünfzig,fifty
vierzig,forty
nachher,after
abweichend,notwithstanding
ähm,um
uff,ugh
hinunter,down
aufwärts,up
sechzehn,sixteen
innenseite,inside
halbzeit,half
runter,down
abwärts,down
zweit,second
pfui,ugh
drunter,underneath
wiedersehen,bye
wiedersehen,goodbye
milliarde,billion
drinnen,inside
siebzehn,seventeen
vormittag,morning
achtzehn,eighteen
einhundert,hundred
sechzig,sixty
thousand,thousand
wessen,whose
aussen,outside
hundred,hundred
fifty,fifty
zuzüglich,plus
begrüßung,welcome
entgegengesetzt,opposite
eleven,eleven
draussen,outside
dreien,three
siebzig,seventy
neunzehn,nineteen
nächst,nearest
vormittags,morning
oha,whoa
achtzig,eighty
billionen,trillion
tschüss,bye
tschüss,goodbye
einschliesslich,including
fünfundzwanzig,twenty
neunzig,ninety
eintausend,thousand
sixteen,sixteen
thirteen,thirteen
lebewohl,farewell
lebewohl,goodbye
