cmn,eng
和,and
人,man
一,one
但,but
後,after
或,or
三,three
前,before
近,near
一個,one
二,two
四,four
五,five
包括,including
六,six
加,plus
因此,so
那,then
這,this
從,from
他的,his
外,outside
因為,because
它,it
所有,all
但是,but
一些,some
如果,if
之後,after
所以,so
這個,this
神,god
請,please
任何,any
兩,two
以上,above
半,half
說,say
之前,before
一次,once
而且,and
九,nine
這些,these
雖然,although
雖然,though
以下,below
然而,yet
七,seven
附近,near
二十,twenty
八,eight
除了,except
不過,but
許多,many
見,see
加上,plus
兩個,two
像,like
全部,all
直到,until
或者,or
通過,via
通過,through
時代,times
葉,ye
百,hundred
億,billion
十二,twelve
來自,from
我的,my
千,thousand
她的,her
拜,bye
先生,sir
十一,eleven
十,ten
還有,and
三十,thirty
透過,through
有些,some
以前,before
關,off
十六,sixteen
十五,fifteen
零,zero
過去,past
十八,eighteen
關於,about
那些,those
輪,round
三個,three
喜歡,like
十七,seventeen
然後,then
十四,fourteen
你的,your
上午,morning
沿,along
四十,forty
圓,round
幫助,help
十九,nineteen
內部,inside
每個,every
每個,each
五十,fifty
歡迎,welcome
早上,morning
儘管,although
男人,man
四個,four
一半,half
百萬,million
那麼,so
那麼,then
超越,beyond
靠近,near
基督,christ
經由,via
外部,outside
六十,sixty
為何,why
關閉,off
下方,below
上方,above
男孩,boy
時報,times
就像,like
七十,seventy
幫忙,help
八十,eighty
出局,out
裡面,inside
一旦,once
五個,five
那個,that
除非,unless
減,minus
為什麼,why
周圍,around
九十,ninety
地獄,hell
耶路撒冷,jerusalem
除外,excepting
除外,except
四名,four
後面,behind
每一個,every
六個,six
背後,behind
過往,past
早晨,morning
郵政,post
讚,like
七個,seven
八個,eight
外面,outside
向下,down
圍繞,around
哇,wow
跳躍,jumping
內心,inside
光榮,glory
哦,oh
室外,outside
告別,farewell
對面,opposite
你好,hello
十個,ten
九個,nine
醚,ether
榮耀,glory
況且,besides
為甚麼,why
身後,behind
內在,inside
毛皮,fur
張貼,post
半數,half
往下,down
下一步,next
圍繞著,around
屁股,butt
唉,ugh
皮毛,fur
嘿,hey
七七,seven
晚安,goodnight
礦山,mine
更近,nearer
要麼,either
皮草,fur
哎呀,oops
拜拜,bye
哇哇,wow
蹦跳,jumping
