ger,eng
eins,one
zwei,two
drei,three
vier,four
fünf,five
sechs,six
Sieben,seven
acht,eight
neun,nine
zehn,ten
zwanzig,twenty
dreißig,thirty
vierzig,forty
fünfzig,fifty
sechzig,sixty
siebzig,seventy
achtzig,eighty
neunzig,ninety
hundert,hundred
tausend,thousand
Million,million
für,for
Und,and
Aber,but
oder,or
Nur,just
Ja,yes
NEIN,no
seit,since
bis,until
mit,with
aus,from
Vor,before
nach,after
von,of
Wenn,if
jede,each
Hallo,hello
ganz,quite
gegen,against
Dann,then
als,than
Wir,we
Du,you
Er,he
sie,she
Es,it
Sie,they
ICH,I
Wow,wow
OK,ok
fast,almost
gestern,yesterday
morgen,tomorrow
oft,often
Hier,here
Dort,there
selbst,even
zwischen,between
