eng,ger
one,eins
two,zwei
three,drei
four,vier
five,fünf
six,sechs
seven,Sieben
eight,acht
nine,neun
ten,zehn
twenty,zwanzig
thirty,dreißig
forty,vierzig
fifty,fünfzig
sixty,sechzig
seventy,siebzig
eighty,achtzig
ninety,neunzig
hundred,hundert
thousand,tausend
million,Million
for,für
and,Und
but,Aber
or,oder
just,Nur
yes,Ja
no,NEIN
since,seit
until,bis
with,mit
from,aus
before,Vor
after,nach
of,von
if,Wenn
each,jede
hello,Hallo
quite,ganz
against,gegen
then,Dann
than,als
we,Wir
you,Du
he,Er
she,sie
it,Es
they,Sie
I,ICH
wow,Wow
ok,OK
almost,fast
yesterday,gestern
tomorrow,morgen
often,oft
here,Hier
there,Dort
even,selbst
between,zwischen
